Order - Number,Ship To - City,Ship To - Postal Code,Ship To - State
240201,SOUTH DENNIS,02660-3009,MA
240197,NEWTON,02458-1012,MA
240196,CRANSTON,02921-7508,RI
240192,LA JOLLA,92037-3222,CA
240189,BERLIN,03570-3720,NH
240184,BROOKLYN,11209-2611,NY
240180,HAWTHORNE,90250-6629,CA
240179,DALLAS,75214-2706,TX
240176,MOORPARK,93021-2718,CA
240170,HOUSTON,77084-6797,TX
240169,DANBURY,06811-2823,CT
240168,VANCOUVER,98682-6966,WA
240158,RIDGECREST,93555-3051,CA
240154,BROOKLYN,11226-2096,NY
240152,KIRKLAND,98034-2703,WA
240148,BROOKLYN,11215-5701,NY
240142,BROOKLYN,11230-4334,NY
240138,SHELTON,06484-2159,CT
240137,LOMA,81524-9428,CO
240133,NEWTON CENTRE,02459-2122,MA
240131,CORINTH,76208-4823,TX
240130,RAMONA,92065-4137,CA
240129,PARKER,80134-3143,CO
240126,KINGWOOD,77345-2088,TX
240124,YUCCA VALLEY,92284-9106,CA
240122,WEST JORDAN,84081-3363,UT
240112,ALBUQUERQUE,87114-1724,NM
240111,BUTTE,59701-3936,MT
240109,WEST ROXBURY,02132-5732,MA
240108,SURPRISE,85374-5402,AZ
240106,SAN FRANCISCO,94115-2213,CA
240103,DALLAS,75225-4841,TX
240095,TORRANCE,90505-6810,CA
240091,KATY,77494-3537,TX
240324,CAPITOLA,95010-2840,CA
240323,GURNEE,60031-2539,IL
240315,BEDFORD,01730-1298,MA
240313,SHERBORN,01770-1626,MA
240308,RIDGEFIELD,06877-5013,CT
240303,SULTAN,98294-9748,WA
240293,DULUTH,30097-2816,GA
240292,BOISE,83704-8970,ID
240291,ASPEN,81611-1065,CO
240290,CHICAGO,60611-1173,IL
240289,WESTBROOK,04092-4251,ME
240285,BROOKFIELD,06804-3120,CT
240280,NEW YORK,10021-2625,NY
240274,ONTARIO,97914-8187,OR
240272,BROOKLYN,11222-4742,NY
240269,OAKLAND,94605-2231,CA
240265,NEWBURGH,12550-3136,NY
240263,NEWPORT BEACH,92663-1850,CA
240261,PORT WASHINGTON,11050-1622,NY
240258,LONDONDERRY,03053-4074,NH
240254,TUSTIN,92782-8023,CA
240251,NORWALK,06853-1108,CT
240247,MERCER ISLAND,98040-4605,WA
240242,AURORA,80012-4747,CO
240240,SAN FRANCISCO,94109-1514,CA
240238,TAYLORSVILLE,84129-1105,UT
240237,BROOKLYN,11233-3119,NY
240235,BROOKLYN,11235-2505,NY
240230,CHARLTON,01507-6504,MA
240226,OLYMPIC VALLEY,96146-9776,CA
240225,WRENTHAM,02093-1832,MA
240224,NORTH HOLLYWOOD,91601-5431,CA
240222,MISSION VIEJO,92691-4764,CA
