ZIP,LAT,LNG
34746,28.24,-81.45
33868,28.24,-81.83
34653,28.24,-82.69
34769,28.24,-81.29
32925,28.25,-80.63
78389,28.25,-97.65
33544,28.25,-82.37
34638,28.26,-82.51
33540,28.26,-82.13
33896,28.26,-81.58
78022,28.26,-98.14
34639,28.27,-82.42
33545,28.27,-82.30
33848,28.28,-81.51
34771,28.28,-81.17
33897,28.29,-81.69
78001,28.29,-99.21
77950,28.29,-96.90
34654,28.29,-82.63
32955,28.30,-80.73
34668,28.30,-82.71
34744,28.30,-81.33
78836,28.30,-99.70
34741,28.31,-81.43
34637,28.31,-82.46
78072,28.31,-98.57
32952,28.31,-80.66
34747,28.31,-81.60
32931,28.32,-80.62
34743,28.33,-81.36
33576,28.34,-82.34
33525,28.34,-82.20
78377,28.35,-97.16
34669,28.36,-82.61
34610,28.37,-82.51
78014,28.37,-99.14
32922,28.37,-80.74
32837,28.38,-81.43
32821,28.38,-81.48
32830,28.38,-81.57
32824,28.38,-81.33
32926,28.39,-80.82
34667,28.39,-82.66
32920,28.40,-80.62
34714,28.40,-81.78
32832,28.40,-81.19
32836,28.41,-81.52
78102,28.41,-97.71
32827,28.42,-81.30
33523,28.42,-82.22
78827,28.42,-99.73
34679,28.43,-82.66
32953,28.44,-80.70
77983,28.44,-96.58
77982,28.44,-96.49
78060,28.45,-98.11
32819,28.45,-81.47
78834,28.45,-99.92
32927,28.46,-80.81
32809,28.46,-81.39
34606,28.47,-82.60
78071,28.47,-98.23
32831,28.47,-81.13
34604,28.48,-82.43
32709,28.48,-80.98
78860,28.48,-100.28
34609,28.48,-82.51
34608,28.48,-82.55
32812,28.48,-81.32
32829,28.48,-81.25
77990,28.48,-96.92
34787,28.48,-81.62
34607,28.49,-82.63
34786,28.49,-81.55
32839,28.49,-81.41
32822,28.49,-81.29
32833,28.49,-81.08
78021,28.50,-98.83
78007,28.50,-98.37
34602,28.50,-82.28
32806,28.51,-81.36
32825,28.52,-81.23
32835,28.52,-81.49
32811,28.52,-81.45
78104,28.52,-97.76
78830,28.52,-99.51
32828,28.53,-81.17
32805,28.53,-81.40
34711,28.53,-81.75
32780,28.53,-80.79
78142,28.54,-97.81
34734,28.54,-81.52
78125,28.54,-97.96
32801,28.54,-81.37
77973,28.54,-96.97
33597,28.55,-82.08
32807,28.55,-81.30
34760,28.55,-81.63
32803,28.56,-81.35
34736,28.56,-81.90
78107,28.57,-97.58
32814,28.57,-81.32
32820,28.58,-81.14
34753,28.58,-81.89
32804,28.58,-81.40
34761,28.58,-81.53
34613,28.58,-82.57
32826,28.58,-81.19
32808,28.58,-81.44
34756,28.58,-81.68
32818,28.59,-81.49
34601,28.59,-82.35
78162,28.59,-97.77
32817,28.59,-81.24
32789,28.60,-81.35
78146,28.60,-97.84
34661,28.60,-82.25
77979,28.61,-96.61
32792,28.61,-81.30
77428,28.62,-96.19
32810,28.63,-81.43
32796,28.63,-80.85
78075,28.63,-98.38
32751,28.63,-81.37
34715,28.63,-81.73
77951,28.63,-96.90
34614,28.64,-82.54
78145,28.65,-97.99
32766,28.65,-81.04
77963,28.65,-97.41
32730,28.65,-81.34
32714,28.66,-81.41
32765,28.66,-81.20
32707,28.66,-81.32
32701,28.67,-81.37
77978,28.67,-96.57
32703,28.67,-81.55
77960,28.68,-97.20
33514,28.69,-81.99
32708,28.69,-81.27
32754,28.69,-80.92
34737,28.69,-81.80
77977,28.70,-96.79
34705,28.70,-81.72
78008,28.70,-98.26
32750,28.71,-81.35
78017,28.71,-99.18
33513,28.71,-82.19
78839,28.72,-99.82
34436,28.72,-82.30
32798,28.72,-81.59
32779,28.73,-81.41
78852,28.73,-100.32
34797,28.73,-81.83
33585,28.73,-82.09
77457,28.73,-95.88
77905,28.73,-97.04
78119,28.73,-97.89
34446,28.75,-82.52
32712,28.75,-81.48
32732,28.75,-81.10
32773,28.75,-81.25
34762,28.76,-81.92
77465,28.76,-96.23
78012,28.76,-98.49
34448,28.77,-82.63
34748,28.77,-81.88
32746,28.77,-81.35
32757,28.77,-81.64
32778,28.77,-81.73
77969,28.78,-96.66
77483,28.79,-95.84
78011,28.79,-98.72
33521,28.80,-82.07
77991,28.80,-96.61
78118,28.80,-98.06
77901,28.80,-96.98
32771,28.81,-81.32
34452,28.82,-82.34
32776,28.82,-81.51
78026,28.82,-98.61
32759,28.83,-80.90
34450,28.83,-82.27
77971,28.83,-96.52
34785,28.84,-82.04
77988,28.84,-96.89
77970,28.85,-96.43
77419,28.85,-96.26
33538,28.85,-82.19
34429,28.85,-82.67
32764,28.85,-81.10
32726,28.86,-81.68
77993,28.86,-97.43
77961,28.86,-96.35
34731,28.86,-81.90
78151,28.86,-97.71
34461,28.87,-82.49
78113,28.87,-98.24
34453,28.87,-82.34
32713,28.88,-81.33
32725,28.89,-81.25
78061,28.89,-99.14
78829,28.89,-99.56
32735,28.89,-81.74
77440,28.89,-96.15
34788,28.90,-81.81
77974,28.90,-97.32
77968,28.91,-96.83
32738,28.91,-81.18
77414,28.91,-95.87
78141,28.91,-97.63
32162,28.91,-81.99
32736,28.92,-81.49
78872,28.93,-99.87
32141,28.93,-80.92
34465,28.93,-82.49
77415,28.93,-95.73
32159,28.93,-81.90
78064,28.94,-98.43
34442,28.94,-82.39
77904,28.94,-97.02
78117,28.94,-97.92
32763,28.94,-81.30
78005,28.94,-98.85
34484,28.95,-82.10
78877,28.95,-100.59
78144,28.95,-97.89
77458,28.95,-96.24
77976,28.95,-97.12
34428,28.96,-82.65
77422,28.96,-95.56
32168,28.96,-81.03
32169,28.97,-80.87
34445,28.97,-82.42
32784,28.97,-81.72
32132,28.98,-80.92
78164,28.98,-97.52
32195,28.99,-81.89
32744,28.99,-81.22
34491,29.00,-82.06
34434,29.00,-82.44
34433,29.00,-82.52
32720,29.00,-81.37
34473,29.01,-82.18
32133,29.02,-81.91
77962,29.02,-96.49
77541,29.02,-95.28
32767,29.03,-81.53
34498,29.03,-82.74
78057,29.04,-99.00
77456,29.04,-96.06
77957,29.04,-96.69
32702,29.04,-81.63
77531,29.05,-95.39
34420,29.05,-82.04
77566,29.05,-95.47
32724,29.06,-81.23
77432,29.07,-96.19
78050,29.07,-98.48
